	"Wild 24h"				"Wild 56h"				"Wild 80h"				"Aposymbiotic 24h"				"Aposymbiotic 56h"				"Aposymbiotic 80h"				"Aposymbiotic 92h"			
"Match ID"	"Rep1"	"Rep2"	"Rep3"	"Rep4"	"Rep1"	"Rep2"	"Rep3"	"Rep4"	"Rep1"	"Rep2"	"Rep3"	"Rep4"	"Rep1"	"Rep2"	"Rep3"	"Rep4"	"Rep1"	"Rep2"	"Rep3"	"Rep4"	"Rep1"	"Rep2"	"Rep3"	"Rep4"	"Rep1"	"Rep2"	"Rep3"	"Rep4"
0	0.600805	0.458036	1.03364	0.899522	0.823749	0.42851	0.910609	0.826895	0.724935	1.01389	0.850873	0.96185	1.3887	1.46118	1.46274	1.7648	1.47738	1.60645										
1	0.123132	0.812581	0.240745	0.974278	1.44422	1.25506	4.33327	1.31885	1.0666	0.898556	0.972836	0.699619	0.688008	1.0908	0.842801	0.485232	1.29434	0.785411	2.05244	1.3714	1.57939	2.14533	1.28846	0.851802				
2	2.10458	3.20271	7.82639	2.07312	1.04063	2.42709	1.18447	2.63383	4.89939	2.00434	1.986	4.66965	2.75834	6.16806	2.74281	3.67822	6.34652	3.82165										
3	0.553423	0.40237	0.35219	0.562116	0.597427	0.190263	0.831804	0.671501	1.38273	0.335808	0.796709	0.526871	0.670377	0.69755	0.717651	1.01716	0.793629											
4	2.6928	2.82044	2.28498	3.52164	3.58966	2.51715	3.24903	3.04512	3.84768	4.38071	4.4543	4.66849	1.98919	2.50932	2.40658	1.92834	4.21662	2.32967	6.01214	4.82859	4.28661	3.02551	3.36793	4.31515	2.8397	3.06012	2.45886	1.92339
5	0.62421	0.462297	0.460976	0.42603	0.608986	0.966645	0.641366	1.12406	0.572715	0.629046	0.620012	0.770918	0.550743	0.735578	0.736857	0.479646	0.716551	0.668195	0.928047	0.764143	0.678216	0.654301	0.655108	0.771957	0.526394	0.562225	0.55375	0.415001
6	0.527565	0.229135	0.75042	0.573373	0.83146	0.500263	0.404927	1.44799	0.489784	0.375738	0.455033	0.38675																
7	1.0303	1.03386	1.00022	1.07121	1.67572	1.58349	1.68066	1.53294	2.28248	2.3926	1.42316	2.48188	1.1822	1.4803	1.47129	1.17979	1.72889	1.52854	2.56045	1.98855	2.00592	1.79442	1.68197	2.29228	1.69093	1.75608	1.4978	1.07836
8	0.376939	0.763807	0.438239	0.392185	0.562676	0.966645	0.631917	0.650993	0.64707	0.528927	0.618338	0.524444	0.460989	0.435429	0.55143	0.372494	0.448197	0.533399	0.639897	0.469078	0.506936	0.486821	0.348574	0.582405	0.383378	0.294428	0.427876	
9	1.77774	1.7415	2.13003	2.48083	2.42932	2.53255	1.62144	3.14287	3.06628	2.33383	3.19707	1.18299	1.16115	0.983	2.09516	1.88127	2.42625	2.32907	2.05685	1.72095	2.03591	1.52878						
10	0.801032	0.683825	1.19042	0.858436	0.411396	0.764868	2.11769	1.39321	1.51344	1.74139	0.825855	0.988901	2.212	2.81524	2.93383	2.09228	0.690424	0.478934	0.755659	0.697092	0.589754	0.541194	0.825605	0.686722	0.898972	0.6593		
11	0.555718	0.58984	0.430667	0.410102	0.720447	0.660803	0.630569	0.66089	0.636662	0.404464	0.643061	0.519078	0.52735	0.673304	0.483653	0.364484	0.748327	0.800562	0.690157	0.650389	0.622004	0.59409	0.547279	0.480983	0.406573			
12	1.12009	1.11678	1.0284	2.66713	0.551152	1.21675	2.07716	1.40505	0.717875	0.629902	0.696565																	
13	0.756731	1.27163	0.582333	0.502844	1.63787	0.432523	0.572758	0.714944	0.861703	0.836386	0.749105	0.685953	0.688142	0.811501	0.842598	1.39882	0.744376	1.26587	1.20665									
14	1.87701	1.74543	0.619536	2.01104	1.34103	1.00913	1.06509	0.899766	1.18775	1.44722	0.723542	1.08316	0.842061															
15	2.32203	0.587755	2.56421	0.860874	1.59678	3.81383	4.09633	5.41539	5.81109	3.46968	4.80141	4.50942	2.94299	4.22612	0.452944	6.71647	4.61901											
16	0.67017	0.962177	2.07202	0.871331	3.36443	0.397824	0.825931	1.49315	2.64763	1.80547	1.739	1.50784	1.14397	0.817928	1.83502	2.36719	1.99904	2.89699	1.7013	3.56537								
17	0.533548	0.654046	0.210106	0.268867	0.321589	1.62029	0.383146	0.411656	0.36636	0.274439	0.279186	0.376665	0.287928	0.356941	0.280315	0.368347	0.571807	0.666081	0.56	0.521128	0.537924	0.538038	0.381952	0.452393	0.333043	0.332257	0.398422	
18	2.10871	2.492	1.87253	1.64201	3.62741	3.44982	2.76138	2.44496	1.3609	1.50366	1.4206	1.17488	3.62772	2.04378	3.23128	3.60193	2.37381	1.70231	2.21582	2.42735	1.58319	1.80393	1.66386	1.212				
19	0.822694	0.857613	0.840909	0.858067	2.64182	0.803513	1.18912	0.658576	0.693784	0.650011	0.873053	0.661547	1.89148	0.723545	0.725245													
20	0.384247	0.39659	0.251947	0.310962	0.29011	0.559032	0.481851	0.482507	0.392207	0.236662	0.238959	0.308795	0.417864	0.39842	0.408297	0.418068	0.515332	0.531031	0.609272	0.608278	0.59582	0.669869	0.490741	0.480611	0.439938	0.475643	0.475893	0.393757
21	0.381835	1.2433	0.385919	0.812345	0.444548	0.382682	0.814011	0.708108	1.08739	1.52291																		
22	0.895726	0.825705	1.50047	0.835176	1.09217	1.02852	0.834522	1.09964	0.51774	0.769293	0.53064	0.431652	1.04689	0.625548	1.02729	1.45477	0.763729	0.605127	0.667388	0.859578	0.620736	0.632883	0.592876	0.41985				
23	0.752786	0.608559	0.943937	0.796762	0.531588	0.844417	0.962857																					
24	0.561249	1.17245	0.481737	0.387449	0.730265	1.37886	0.397372	0.422698	0.519491	0.425915	0.211882	0.465734	0.806298	0.890422	0.928907	0.873154	1.28727	1.65834	1.42383	1.43954	1.28335	1.46292	1.30999	1.28866	0.908857	0.85886	1.11305	0.584022
25	0.61186	0.412257	0.715816	0.396248	0.588459	0.335861	0.575551	0.984334	0.433377	0.717491	0.816228	0.350533	0.636141	0.303266	0.358343	0.523712	0.929522	1.09757	0.69049	0.848641	0.602997	0.718128	0.784576	0.38596	0.418707	0.372316	0.37295	
26	1.22474	0.667878	0.743246	0.652583	0.88116	0.819572	0.977621	0.704547	0.825055	0.879104	0.753644	1.08634	0.739655	0.853386	0.881329	0.558393	1.39131	1.00212	1.20942	1.17621	1.53627	1.02565	1.1974	1.51597	0.939289	1.09548	1.03304	0.632269
27	0.789788	0.621306	0.970202	0.70572	0.924836	0.755668	1.00943	0.94822	1.03894	0.680937	1.03012	0.883785	0.663486	0.776341	0.650748	0.58652	1.00837	0.666388	0.843331	1.0661	0.872082	0.662321	0.82946	1.21226	0.742691	0.671311	0.548438	0.624146
28	1.08274	1.00087	0.742982	1.03221	1.46836	1.04718	1.20371	1.08544	1.50835	1.36282	1.33009	1.38535	0.943718	0.954471	0.958962	0.827472	1.57094	1.15116	1.94095	1.6548	1.72468	1.53737	1.52884	1.44081	1.28837	1.22266	1.07304	0.779182
29	1.9948	2.0525	2.15593	2.54881	1.9394	2.30318	6.06849	4.04123	4.66488	4.18789	2.65988	3.28693	2.68513	2.32752	3.55066	3.23419	4.33138	5.75255	7.5988	6.86366	6.93888	6.64899	6.07206	5.86974	3.73816	3.19833	2.57468	2.6866
30	0.391042	0.256808	0.262289	0.28739	0.483084	0.465058	0.364852	0.373179	0.454839	0.451084	0.333434	0.377947	1.14351	1.61558	1.22518	1.0959	1.90854	1.98115	2.47489	2.3657	1.90679	2.39868	1.56727	1.78762				
31	0.681521	1.60113	0.345786	0.552593	1.1448	0.810288	0.725477	0.769709	1.08366	0.806203	0.809	0.832168	0.996014	1.07223	1.24419	1.16619	1.3403	1.85328	1.91842	1.90568	1.97007	2.53531	1.80188	1.89779	1.37118	1.63107	1.7136	0.982193
32	1.51985	1.47437	1.26438	1.52138	2.0015	2.04224	2.70501	2.22934	2.83035	3.4057	0.507025	1.26061	0.386328	0.34458	0.371378	0.718987	0.926071	0.313006	0.476886	0.720947	1.90984	1.82855	1.85508	1.22824				
33	0.711801	0.728554	0.372253	0.305094	0.453754	0.735583	0.852101	0.559612	0.584091	0.498444	0.381127	0.516677	0.446487	0.453601	0.545821	0.522022	0.631687	0.887313	0.780524	0.724859	0.649282	0.68035	0.510135	0.613925	0.361394	0.401774	0.492483	0.29717
34	1.65894	1.1744	1.93776	2.0508	3.95175	3.37026	4.05757	2.9214	3.36782	2.34709	2.86173	3.65713	3.80225	2.66315	4.80005	4.59979	4.13773	5.73241	4.44659	0.374424	5.14393	3.32358						
35	0.74159	0.334885	0.262997	0.545147	0.424597	0.56092	0.42135	0.304574	0.286327	0.333127	0.247685	0.480066	0.364301	0.376652	0.462693	0.477427	0.37553	0.604132	0.319367	0.324789	0.310976	0.271387						
36	0.333532	0.283511	0.32836	0.312468	0.362773	1.89595																						
37	0.623574	0.391913	0.486369	0.552066	0.394136	0.627842	1.09577	0.558835	0.637993	0.605291	0.518937	0.562836	0.503818	0.539502	0.59245	0.620223	0.705505	0.657061	1.06414	0.964463	0.89425	1.0073	0.925169	0.991265	0.619242	0.491136	0.496076	0.509074
38	1.54012	0.352977	2.22523	2.38314	2.42673	4.90867	1.87411	1.83851	1.5659	1.30812	2.59447	2.19876	2.4302	1.09235	1.68807													
39	2.23324	1.36848	1.28048	1.45312	1.67376	1.42063	1.23999	1.56478	1.6021	1.58981	0.923073	0.739073	0.715785	1.78322	2.82589	2.34076	0.846496	1.35813	1.07998	1.0771	0.930599							
40	4.65351	6.88312	5.35538	7.16831	10.2921	9.98923	2.56181	10.2187	3.79067	4.78139	3.74749	2.75732	6.8799	5.59811	8.52438	8.19731	6.81955	5.84417	7.39913	6.70731	4.89853	5.91686	5.71757	3.56684				
41	0.442015	0.61617	0.589146	0.377012	0.414215	0.746027	0.387633	0.39765	0.389788	0.307236	0.39479	0.357104	0.2328	0.201849	0.249696	0.302087	0.269576	0.348742	0.380839	0.235118	0.275809	0.226653	0.271659	0.177895	0.191557			
42	1.84778	1.69666	1.0228	0.895246	0.779634	1.21382	3.73299	1.33805	0.6422	0.673252	0.846213	0.614362	1.06697	0.496038	0.500045	0.601389	0.465599	0.651325										
43	3.15056	3.60171	2.816	3.7473	4.58642	2.45624	3.38005	4.04778	5.09053	4.54107	2.95974	4.64998	2.96267	4.0739	3.5252	5.19157	5.34956	4.4081	7.15407	5.7496	5.87717	5.14356	4.76313	4.34667	3.66647	4.19648	4.34678	2.63898
44	0.354558	0.157746	0.441932	0.283746	0.447009	0.706959	0.420225	0.448396	0.53228	0.524114	0.325929	0.464156	0.214315	0.192197	0.217093	0.275248	0.252024	0.30855	0.331176	0.230795	0.232949	0.225278	0.21723	0.22342	0.238866	0.548231		
45	0.31478	0.420601	0.493456	0.454158	1.05039	0.781646	0.54313	0.453355	1.12885	0.652097	0.346072	0.842321	0.836545	0.935415	0.873592	0.85485	0.54442	0.685149	0.393529									
46	0.460108	0.322875	0.313151	0.458609	0.43371	0.761889	0.567521	0.694175	0.653847	0.421268	0.646469	0.437348	0.465058	0.407627	0.493677	0.516553	0.526798	0.82022	0.536397	0.493335	0.379864	0.422046	0.506243	0.487155	0.413692	0.392697	0.320819	
47	0.398566	0.310272	0.27602	0.574393	0.364884	0.462398	0.729087	0.642436																				
48	1.10976	1.49677	1.51437	0.588539																								
