gi9837270	family_1
gi16078516	family_2
gi1518868	family_3
gi3892028	family_3
gi4557249	family_3
gi6680636	family_3
gi15802037	family_3
gi16129581	family_3
gi18426812	family_3
gi20141178	family_3
gi24113013	family_3
gi28373486	family_3
gi171366	family_4
gi627281	family_4
gi728827	family_4
gi6322218	family_4
gi12644702	family_5
gi13022196	family_5
gi171053	family_6
gi178547	family_6
gi399033	family_6
gi608499	family_6
gi644509	family_6
gi995562	family_6
gi2134756	family_6
gi2494043	family_6
gi2494044	family_6
gi4502079	family_6
gi4557311	family_6
gi5922016	family_6
gi5922018	family_6
gi6323606	family_6
gi6753048	family_6
gi7484807	family_6
gi7638159	family_6
gi11359582	family_6
gi13928736	family_6
gi13938134	family_6
gi16945394	family_6
gi18404701	family_6
gi18859679	family_6
gi19111945	family_6
gi20302047	family_6
gi21264318	family_6
gi21294189	family_6
gi21311925	family_6
gi348315	family_7
gi6141557	family_7
gi6226558	family_8
gi1246354	family_9
gi1657533	family_9
gi15595634	family_9
gi15602430	family_9
gi15800066	family_9
gi16120505	family_9
gi16128322	family_9
gi16762096	family_9
gi16766629	family_9
gi3122248	family_10
gi3122249	family_10
gi3334230	family_10
gi15595638	family_10
gi18478562	family_10
gi21362600	family_10
gi21730171	family_10
gi22988246	family_10
gi23062845	family_10
gi23200220	family_10
gi1346930	family_11
gi3122654	family_11
gi16078614	family_11
gi7331	family_12
gi8509	family_12
gi131696	family_12
gi191173	family_12
gi191364	family_12
gi279582	family_12
gi400909	family_12
gi2506025	family_12
gi3024509	family_12
gi3915831	family_12
gi17532699	family_12
gi21294381	family_12
gi22832393	family_12
gi279570	family_13
gi1651519	family_13
gi15801179	family_13
gi16129025	family_13
gi16760039	family_13
gi16764519	family_13
gi24112473	family_13
gi7531230	family_14
gi887833	family_15
gi4758426	family_15
gi6330926	family_15
gi6753960	family_15
gi7533042	family_15
gi11837778	family_15
gi13929094	family_15
gi15803420	family_15
gi15833010	family_15
gi16130785	family_15
gi20270696	family_15
gi3182927	family_16
gi16080988	family_17
gi15804904	family_18
gi16132149	family_18
gi16763320	family_18
gi16767756	family_18
gi24115394	family_18
gi3122243	family_19
gi9931313	family_19
gi22218649	family_19
gi11890745	family_20
gi400237	family_21
gi8895751	family_22
gi15803675	family_22
gi15833269	family_22
gi15643577	family_23
gi3287876	family_24
gi3287879	family_24
gi13194736	family_24
gi3287737	family_25
gi2098312	family_26
gi2392286	family_26
gi12084365	family_26
gi13786719	family_26
gi14719485	family_26
gi15212234	family_26
gi17977844	family_26
gi4033703	family_27
gi17432321	family_28
gi43635	family_29
gi137070	family_29
gi137071	family_29
gi137073	family_29
gi137074	family_29
gi167228	family_29
gi224797	family_29
gi225714	family_29
gi227457	family_29
gi421269	family_29
gi465008	family_29
gi586164	family_29
gi586167	family_29
gi731075	family_29
gi886331	family_29
gi914897	family_29
gi1073151	family_29
gi1174887	family_29
gi1174889	family_29
gi1174891	family_29
gi1718044	family_29
gi2340847	family_29
gi2501620	family_29
gi2501623	family_29
gi2507522	family_29
gi2624847	family_29
gi2708800	family_29
gi3659633	family_29
gi3688063	family_29
gi3915207	family_29
gi4249601	family_29
gi4545295	family_29
gi5913962	family_29
gi6633958	family_29
gi7245287	family_29
gi7245484	family_29
gi7272374	family_29
gi7320802	family_29
gi7839375	family_29
gi9967069	family_29
gi10336584	family_29
gi12313641	family_29
gi13357995	family_29
gi13474128	family_29
gi13605430	family_29
gi13959023	family_29
gi14192678	family_29
gi14278353	family_29
gi14579320	family_29
gi14599161	family_29
gi14599413	family_29
gi14599415	family_29
gi14599435	family_29
gi15220459	family_29
gi15600061	family_29
gi15608987	family_29
gi15611138	family_29
gi15612817	family_29
gi15800666	family_29
gi15807978	family_29
gi15889672	family_29
gi15925280	family_29
gi15966223	family_29
gi16080717	family_29
gi16122873	family_29
gi16272483	family_29
gi16329675	family_29
gi16974909	family_29
gi16974911	family_29
gi17231162	family_29
gi17402589	family_29
gi17546751	family_29
gi17986930	family_29
gi17987935	family_29
gi19070377	family_29
gi19310948	family_29
gi19338960	family_29
gi19856524	family_29
gi21219743	family_29
gi21637179	family_29
gi21637192	family_29
gi21637202	family_29
gi21637205	family_29
gi21637208	family_29
gi21637244	family_29
gi22125140	family_29
gi22297549	family_29
gi22831365	family_29
gi22976226	family_29
gi22988607	family_29
gi23000615	family_29
gi23020534	family_29
gi23027998	family_29
gi23039910	family_29
gi23058236	family_29
gi23101955	family_29
gi23126033	family_29
gi23136289	family_29
gi23501177	family_29
gi23502230	family_29
